equipment_id,equipment_type,manufacturer,model,serial_number,facility_id,facility,county,keph_level,department,latitude,longitude,installation_date,last_maintenance_date,operating_hours_at_start,maintenance_interval_days,criticality,scenario_type,scenario_rationale,discrepancy_pct_target
ME-00086,Hemodialysis,B. Braun,Dialog+,SN-KLFN-56238692,14586.0,Iten County Referral Hospital,Elgeyo Marakwet,Level 4,Renal Unit,0.6667,35.5,2021-11-17,2026-06-18,27483,180,Critical,MaintenanceNeglect,"Maintenance-neglect-to-breakdown pattern modeled on the MES 125-hospital equipment-halt case, where machines across facilities ground to a halt due to lack of maintenance.",0.0
ME-00087,Ultrasound,Philips,EPIQ,SN-QQAZ-37923747,18832.0,Karatina Maternity & Nursing Home,Kirinyaga,Level 3,Imaging,-0.5,37.2833,2022-08-01,2026-08-11,28908,60,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00088,CT,GE Healthcare,SOMATOM,SN-OBSQ-48217594,10539.0,Kiambu County Referal Hospital,Kiambu,Level 5,Radiology,-1.1714,36.8356,2022-07-06,2026-08-01,19672,180,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00089,CT,Siemens,Revolution,SN-WKSS-43671369,12867.0,Aga Khan Hospital,Nairobi,Level 5,Radiology,-1.2864,36.8172,2021-02-19,2026-02-22,16976,60,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00090,Anesthesia,GE Healthcare,WATO,SN-XZOM-64090974,18852.0,Lumboka Medical Services,Bungoma,Level 4,Operating Theatre,0.5635,34.5606,2025-06-12,2026-04-27,23976,90,Low,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.275
ME-00091,MRI,Philips,SIGNA,SN-YCCL-33942104,15915.0,Kakamega County General Hospital,Kakamega,Level 5,Radiology,0.2827,34.7519,2021-09-23,2026-07-10,17009,180,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00092,Ventilator,Hamilton,Evita,SN-YIXH-21456232,14379.0,Cherangany Sub County Hospital,Trans Nzoia,Level 4,ICU,1.0157,35.0062,2022-11-23,2026-08-14,4049,90,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00093,CT,Canon,Aquilion,SN-EJWO-42474517,13110.0,Nairobi Hospital,Nairobi,Level 5,Radiology,-1.2864,36.8172,2024-05-18,2026-07-08,13092,120,High,MaintenanceNeglect,Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.,0.0
ME-00094,Ultrasound,Philips,DC-70,SN-HDXR-68516048,12459.0,Malalani Health Centre,Kitui,Level 3,Imaging,-1.3667,38.0167,2024-12-30,2026-06-28,15868,90,High,MaintenanceNeglect,Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.,0.0
ME-00095,MRI,Philips,MAGNETOM,SN-NJUN-49651370,10903.0,Nyeri Provincial General Hospital (PGH),Nyeri,Level 5,Radiology,-0.4201,36.9476,2020-07-04,2026-06-23,11339,30,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00096,MRI,GE Healthcare,Ingenia,SN-TFHG-17461200,12004.0,Embu Provincial General Hospital,Embu,Level 5,Radiology,-0.531,37.45,2020-08-15,2026-08-09,20319,180,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00097,Patient Monitor,Philips,CARESCAPE,SN-VUJA-82675869,13927.0,Nyangoge Health Centre,Migori,Level 3,ICU,-1.0634,34.4731,2024-03-12,2026-03-09,6879,90,Low,MaintenanceNeglect,Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.,0.0
ME-00098,Anesthesia,Drager,Perseus,SN-CPXG-79640537,10083.0,Central Memorial Hospital,Kiambu,Level 4,Operating Theatre,-1.1714,36.8356,2024-06-16,2026-04-30,19132,90,Medium,UsageDiscrepancy+MaintenanceNeglect,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.",0.311
ME-00099,Anesthesia,Drager,WATO,SN-FQNP-85064317,25045.0,Mwai Kibaki Teaching and Referral Hospital,Nyeri,Level 6,Operating Theatre,-0.4201,36.9476,2024-01-24,2026-06-13,10317,120,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00100,Ultrasound,GE Healthcare,EPIQ,SN-WJNL-00532931,23860.0,Dokatah Nursing Home,Kwale,Level 4,Imaging,-4.1747,39.4521,2020-06-17,2026-07-25,29236,120,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00101,X-Ray,GE Healthcare,Ysio,SN-IQZL-35290422,23681.0,Ichuky Medical Centre,Trans Nzoia,Level 3,Radiology,1.0157,35.0062,2019-07-24,2026-06-26,19907,30,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00102,Hemodialysis,B. Braun,5008S,SN-LQDI-02053950,13540.0,Ekerenyo Sub-District Hospital,Nyamira,Level 4,Renal Unit,-0.5633,34.9358,2024-12-07,2026-05-10,9132,30,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00103,Ventilator,Medtronic,C6,SN-GCGO-81177589,12142.0,Kalacha Sub County Referral Hospital (Chalbi),Marsabit,Level 4,ICU,2.3284,37.9899,2023-11-10,2026-02-26,15762,120,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00104,X-Ray,GE Healthcare,DigitalDiagnost,SN-RGFT-84700766,14721.0,Kapkoi Health Centre,Elgeyo Marakwet,Level 3,Radiology,0.6667,35.5,2022-05-26,2026-03-04,21349,30,Low,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.404
ME-00105,MRI,GE Healthcare,Ingenia,SN-OLJT-15921249,12867.0,Aga Khan Hospital,Nairobi,Level 5,Radiology,-1.2864,36.8172,2021-05-23,2026-05-02,3660,60,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00106,Hemodialysis,Fresenius,5008S,SN-YSHP-98478961,12110.0,Jordan Hospital,Kitui,Level 4,Renal Unit,-1.3667,38.0167,2024-02-29,2026-08-07,14386,120,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00107,CT,Siemens,Aquilion,SN-ZAUG-83673657,15204.0,Moi Teaching Refferal Hospital,Uasin Gishu,Level 6,Radiology,0.5204,35.2699,2021-04-14,2026-05-11,10264,120,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00108,Ventilator,Medtronic,PB980,SN-FBGV-54527111,11170.0,Wangige Sub County Hospital,Kiambu,Level 4,ICU,-1.1714,36.8356,2024-11-28,2026-05-01,22665,60,Critical,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.154
ME-00109,MRI,GE Healthcare,MAGNETOM,SN-AWQW-28098851,14947.0,Kitale County Hospital,Trans Nzoia,Level 5,Radiology,1.0157,35.0062,2022-03-23,2026-08-05,3339,30,Medium,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.358
ME-00110,Ventilator,Hamilton,C6,SN-NJQE-04945198,12799.0,St. John of God Hospital Tigania,Meru,Level 4,ICU,0.047,37.6556,2020-07-13,2026-08-01,5074,120,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00111,Ventilator,Medtronic,PB980,SN-ZBJX-15851493,19280.0,St Louis Community Hospital,Nairobi,Level 4,ICU,-1.2864,36.8172,2025-08-02,2026-06-18,17180,120,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00112,Ventilator,Medtronic,C6,SN-SWTV-98094024,14455.0,Endebess Sub-County Hospital,Trans Nzoia,Level 4,ICU,1.0157,35.0062,2021-08-11,2026-02-19,20782,90,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00113,Hemodialysis,Nikkiso,5008S,SN-VHNY-22961201,13365.0,Hulugho Sub County Hospital,Garissa,Level 4,Renal Unit,-0.4569,39.6583,2022-03-13,2026-05-17,26059,90,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00114,Anesthesia,GE Healthcare,WATO,SN-DJKW-52545991,13831.0,Muhoroni County Hospital,Kisumu,Level 4,Operating Theatre,-0.0917,34.768,2023-11-18,2026-02-27,22348,120,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00115,Hemodialysis,B. Braun,Dialog+,SN-RNWG-14767976,13924.0,Nyangena Sub District Hospital (Manga),Nyamira,Level 4,Renal Unit,-0.5633,34.9358,2019-08-05,2026-04-26,27681,120,Low,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.261
ME-00116,CT,Canon,Revolution,SN-OZMD-61497840,15204.0,Moi Teaching Refferal Hospital,Uasin Gishu,Level 6,Radiology,0.5204,35.2699,2018-09-09,2026-03-29,29106,60,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00117,CT,Canon,SOMATOM,SN-FVBL-43244510,13703.0,Kisii Teaching And Referral Hospital (Level 6),Kisii,Level 5,Radiology,-0.6773,34.7796,2019-09-22,2026-05-02,27658,180,Low,MaintenanceNeglect,Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.,0.0
ME-00118,Ultrasound,Philips,LOGIQ,SN-BBDE-83885160,24722.0,Nassi Hospitals,Busia,Level 3,Imaging,0.4608,34.1116,2021-04-15,2026-06-09,26314,120,Low,MaintenanceNeglect,Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.,0.0
ME-00119,Ventilator,Hamilton,C6,SN-UKZN-69664160,15288.0,Nakuru Provincial General Hospital,Nakuru,Level 5,ICU,-0.3031,36.08,2022-07-16,2026-07-29,2776,60,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00120,Ventilator,Medtronic,C6,SN-HFZT-51613696,10782.0,Muriranjas Sub-District Hospital,Muranga,Level 4,ICU,-0.7833,37.15,2024-12-20,2026-04-24,25903,30,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00121,MRI,GE Healthcare,SIGNA,SN-MXWW-35218188,10903.0,Nyeri Provincial General Hospital (PGH),Nyeri,Level 5,Radiology,-0.4201,36.9476,2024-10-23,2026-07-27,29863,120,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00122,Hemodialysis,Nikkiso,5008S,SN-JWWP-23124329,15498.0,Roret Sub-District Hospital,Kericho,Level 4,Renal Unit,-0.3676,35.2861,2019-04-08,2026-03-24,11182,180,Low,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.286
ME-00123,Hemodialysis,B. Braun,5008S,SN-OUJC-77997995,12289.0,Kibunga Sub-District Hospital,Tharaka Nithi,Level 4,Renal Unit,-1.2864,36.8172,2019-03-17,2026-05-20,22224,60,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00124,Patient Monitor,Mindray,BeneVision,SN-TDCC-74490581,10829.0,Ndaragwa Health Centre,Nyandarua,Level 3,ICU,-0.1833,36.5,2019-02-09,2026-04-30,9959,120,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00125,Patient Monitor,GE Healthcare,BeneVision,SN-LJYV-41199867,13401.0,Malkamari Health Centre (Malkamari),Mandera,Level 3,ICU,3.9366,41.855,2018-12-22,2026-05-16,5739,120,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00126,Patient Monitor,Mindray,IntelliVue,SN-CGZV-93597820,24571.0,Maroatora Nursing Home,Migori,Level 3,ICU,-1.0634,34.4731,2024-09-13,2026-03-06,29312,30,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00127,Anesthesia,GE Healthcare,WATO,SN-NKXX-82037788,10782.0,Muriranjas Sub-District Hospital,Muranga,Level 4,Operating Theatre,-0.7833,37.15,2021-01-11,2026-05-04,9754,30,High,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.338
ME-00128,X-Ray,Philips,Definium,SN-JRYS-65905151,21810.0,Pemah Nursing and Maternity Home,Siaya,Level 3,Radiology,0.0607,34.2881,2020-10-07,2026-07-08,29352,60,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00129,Ultrasound,Philips,DC-70,SN-PSQZ-92519254,22053.0,Agakhan Medical Centre-Busia,Busia,Level 3,Imaging,0.4608,34.1116,2019-09-21,2026-06-13,25997,180,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00130,Ultrasound,GE Healthcare,DC-70,SN-PQBG-14865281,15181.0,Meteitei Sub-District Hospital,Nandi,Level 4,Imaging,0.1833,35.1167,2021-09-14,2026-02-21,8825,180,Critical,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.19
ME-00131,Anesthesia,GE Healthcare,WATO,SN-IJES-54235733,10162.0,Eddiana Hospital,Kiambu,Level 4,Operating Theatre,-1.1714,36.8356,2025-04-30,2026-03-09,16498,120,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00132,Patient Monitor,GE Healthcare,IntelliVue,SN-YJKL-88805929,17111.0,Mashambani Health Centre,Kisumu,Level 3,ICU,-0.0917,34.768,2024-07-08,2026-07-17,5136,180,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00133,X-Ray,Siemens,DigitalDiagnost,SN-NSWV-92706537,14040.0,Ratta Health Centre,Kisumu,Level 3,Radiology,-0.0917,34.768,2025-04-17,2026-05-16,15972,30,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00134,CT,GE Healthcare,SOMATOM,SN-CDXS-38347359,13346.0,Garissa County Referral Hospital,Garissa,Level 5,Radiology,-0.4569,39.6583,2025-03-30,2026-05-03,26609,90,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00135,Ventilator,Medtronic,Evita,SN-DPEX-88623924,11381.0,Galana Hospital,Kilifi,Level 4,ICU,-3.6305,39.8499,2023-05-05,2026-03-09,28910,90,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00136,Patient Monitor,Mindray,IntelliVue,SN-JBFO-81412478,22591.0,Cheptobot,Trans Nzoia,Level 3,ICU,1.0157,35.0062,2025-07-28,2026-05-16,21232,30,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00137,Ventilator,Drager,PB980,SN-YFXO-50606853,15081.0,Lopiding Sub County Hospital,Turkana,Level 4,ICU,3.1167,35.6,2018-11-12,2026-04-20,3961,120,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00138,Anesthesia,Drager,WATO,SN-WTEC-15220472,13856.0,Nightingale Medical Centre,Kisumu,Level 4,Operating Theatre,-0.0917,34.768,2023-11-10,2026-02-19,10812,30,Low,MaintenanceNeglect,Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.,0.0
ME-00139,CT,Siemens,SOMATOM,SN-BHXS-10432898,25045.0,Mwai Kibaki Teaching and Referral Hospital,Nyeri,Level 6,Radiology,-0.4201,36.9476,2020-08-24,2026-04-17,13282,120,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00140,MRI,Philips,Ingenia,SN-FMIB-10369711,13346.0,Garissa County Referral Hospital,Garissa,Level 5,Radiology,-0.4569,39.6583,2024-01-01,2026-05-29,26969,60,Medium,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.173
ME-00141,Ventilator,Medtronic,PB980,SN-PKAL-93246095,19237.0,Mutuati Catholic Hospital,Meru,Level 4,ICU,0.047,37.6556,2024-04-11,2026-06-27,8891,120,Medium,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.19
ME-00142,Ventilator,Medtronic,Evita,SN-JBYE-18518888,15565.0,Sigor Sub-District Hospital,Bomet,Level 4,ICU,-0.7833,35.3333,2018-12-30,2026-06-21,27366,120,High,MaintenanceNeglect,Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.,0.0
ME-00143,Ventilator,Drager,C6,SN-UQOG-65405153,24143.0,Tenwek Hospital Annex-Bomet,Bomet,Level 4,ICU,-0.7833,35.3333,2025-03-09,2026-06-10,12323,180,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00144,Ventilator,Hamilton,C6,SN-SEOL-52058527,10154.0,Vineyard Hospital,Kiambu,Level 4,ICU,-1.1714,36.8356,2025-07-12,2026-03-16,28698,90,Medium,MaintenanceNeglect,"Maintenance-neglect-to-breakdown pattern modeled on the MES 125-hospital equipment-halt case, where machines across facilities ground to a halt due to lack of maintenance.",0.0
ME-00145,Patient Monitor,Philips,IntelliVue,SN-UTGZ-17043030,23559.0,The Nairobi Hospital Warwick Outpatient Center,Nairobi,Level 4,ICU,-1.2864,36.8172,2025-07-24,2026-06-03,13496,180,High,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.292
ME-00146,Patient Monitor,Philips,BeneVision,SN-RHZX-74034505,14366.0,Cheptalal Sub-County Hospital,Bomet,Level 4,ICU,-0.7833,35.3333,2022-05-05,2026-08-09,13969,90,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00147,Ventilator,Medtronic,PB980,SN-ZHRZ-67652775,23523.0,Bliss Medical Centre,Kirinyaga,Level 4,ICU,-0.5,37.2833,2019-04-30,2026-07-09,17276,90,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00148,Ventilator,Drager,PB980,SN-GFUQ-61692845,11757.0,Riflot Medical Centre,Taita Taveta,Level 4,ICU,-3.396,38.5535,2021-02-20,2026-04-18,7230,180,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00149,Ventilator,Drager,PB980,SN-UWNB-79627570,14511.0,Gilgil Military Regional Hospital,Nakuru,Level 4,ICU,-0.3031,36.08,2020-12-17,2026-06-22,22179,30,High,UsageDiscrepancy+MaintenanceNeglect,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the MES 125-hospital equipment-halt case, where machines across facilities ground to a halt due to lack of maintenance.",0.357
ME-00150,Hemodialysis,Nikkiso,5008S,SN-MRYC-01658202,15946.0,Kima Mission Hospital,Vihiga,Level 4,Renal Unit,0.0833,34.7167,2018-12-03,2026-03-14,3953,90,High,Normal,No injected scenario; represents routine operating condition.,0.0
